"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@KofiPoliSci351A if it bleeds, it leads #POL351",FALSE,0,"KofiPoliSci351A",2015-09-14 14:11:16,FALSE,"642162078673973248","643426792813031424","3484949123","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@ShannonLaGassa does Mabus raise any valid points? Tests in other services (e.g. Ranger school) show women are capable #POL351 #POL241",FALSE,0,"ShannonLaGassa",2015-09-14 14:09:50,FALSE,"642483322296385536","643426433977708544","3462487036","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"@AtalieSofia yet his GOP support doesn't differ much for men vs. women #pol241 http://t.co/pppePOIP0g",FALSE,0,"AtalieSofia",2015-09-14 14:07:28,FALSE,"642020506682662912","643425836734005248","711614828","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
".@CodyShagovac depends on if the amended licenses are still valid. if not, probably back to jail #POL241 #POL353 http://t.co/PPc13fzzLx",FALSE,0,"CodyShagovac",2015-09-14 14:01:42,FALSE,"643398683959164928","643424386024910848","194364675","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soltofbc",0,FALSE,FALSE,NA,NA
"Maybe it's time for Kim Davis to find a new job that won't go against her personal beliefs? #pol241 http://t.co/JHDjMP9NS4",FALSE,0,NA,2015-09-14 13:53:02,FALSE,NA,"643422206127644673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allen_kelsey1",0,FALSE,FALSE,NA,NA
"@soltofbc How do you think this will play out? Will she go back to jail? #POL241  https://t.co/XT0qPULVHo",FALSE,0,"soltofbc",2015-09-14 12:19:34,FALSE,NA,"643398683959164928","3234588499","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CodyShagovac",0,FALSE,FALSE,NA,NA
"Kentucky clerk Kim Davis due to return to work Monday via the @FoxNews App #pol353 so she gets to continue work http://t.co/Kz2wm82ArW",FALSE,0,NA,2015-09-14 12:07:59,FALSE,NA,"643395766845882369",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","LaPollaJames",0,FALSE,FALSE,NA,NA
"Walker to call for ending federal employee unions, abolishing NLRB via the @FoxNews App #pol353 calls to end unions http://t.co/uqNdIQTTeR",FALSE,0,NA,2015-09-14 12:07:19,FALSE,NA,"643395600449445888",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","LaPollaJames",0,FALSE,FALSE,NA,NA
"This seems like a very controversial topic #POL241
Will California's governor approve a right to die? http://t.co/8yk82rp2Fe via @TIME",FALSE,1,NA,2015-09-14 01:20:17,FALSE,NA,"643232769292767232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jamie_kolthoff",0,FALSE,FALSE,NA,NA
"Hopefully it doesn't happen again #POL241 http://t.co/N8LTfTGwmi",FALSE,0,NA,2015-09-14 01:00:03,FALSE,NA,"643227676296237056",NA,"<a href=""http://login.foxnews.com"" rel=""nofollow"">FOX News Login</a>","jamie_kolthoff",0,FALSE,FALSE,NA,NA
"Wow! #POL351  https://t.co/OaWbtezlmw",FALSE,0,NA,2015-09-14 00:06:14,FALSE,NA,"643214135208116224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremyMcQueen24",0,FALSE,FALSE,NA,NA
"I'm glad that this officer is off of the streets and cannot harass anyone else. #POL351  https://t.co/T5LNa1sULc",FALSE,1,NA,2015-09-13 22:05:27,FALSE,NA,"643183736897441792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremyMcQueen24",0,FALSE,FALSE,NA,NA
"The Iran deal is not good in my opinion and needed to be rejected. #POL351  https://t.co/qIxrI3jcY1",FALSE,0,NA,2015-09-13 22:02:55,FALSE,NA,"643183102022561792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremyMcQueen24",0,FALSE,FALSE,NA,NA
"If he doesn't win the democratic spot in the running, I'm gonna cry, his arguments are on point Ì†ΩÌ±èÌ†ΩÌ±è #pol241 https://t.co/NdqATI0bfP",FALSE,0,NA,2015-09-13 17:12:56,FALSE,NA,"643110121594355713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtalieSofia",0,FALSE,FALSE,NA,NA
"This is why restrictions on guns are needed #POL241  https://t.co/9BjOWoQNRL",FALSE,0,NA,2015-09-13 17:08:13,FALSE,NA,"643108935680040960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CodyShagovac",0,FALSE,FALSE,NA,NA
"Religious component of this proposed bill is similar to exercise and establishment cases. #POL353 http://t.co/Wy2e8e1ZYl",FALSE,0,NA,2015-09-13 16:45:16,FALSE,NA,"643103159397785600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cassady_Willi",0,FALSE,FALSE,NA,NA
"People shouldn't be living on less than minimum wage per day. It's inhumane. #pol241 https://t.co/mLoRVwhtgk",FALSE,0,NA,2015-09-12 20:27:32,FALSE,NA,"642796708120915972",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtalieSofia",0,FALSE,FALSE,NA,NA
"This is good for individuals who can't live with pain anymore #POL241  https://t.co/JNzCmCUkpq",FALSE,0,NA,2015-09-12 17:58:58,FALSE,NA,"642759320506118144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CodyShagovac",0,FALSE,FALSE,NA,NA
"Why urban violence is so much more than guns, gun laws, and policing. We NEED to change the conversation. #POL353 https://t.co/bANJRI7a6a",FALSE,0,NA,2015-09-12 14:53:54,FALSE,NA,"642712746644144128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","frannyblack4",0,FALSE,FALSE,NA,NA
"And I can insist that the sky is green, but we would all know I'm lying #pol241 https://t.co/SJuDXWW3lh",FALSE,0,NA,2015-09-12 14:42:50,FALSE,NA,"642709960288133120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtalieSofia",0,FALSE,FALSE,NA,NA
"RT @bangowitz: Kentucky Clerk defies court, denies same-sex couples marriage licenses, hearing set. http://t.co/RXUcX1URqe #POL351",FALSE,0,NA,2015-09-12 05:30:36,FALSE,NA,"642570987318419456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RollsRoyceSex",1,TRUE,FALSE,NA,NA
"Women in the Navy #POL351 http://t.co/QG3htxiV3r",FALSE,1,NA,2015-09-11 23:42:15,FALSE,NA,"642483322296385536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShannonLaGassa",0,FALSE,FALSE,NA,NA
